country_origin,migrants_2020
Burundi,551105
Comoros,150823
Djibouti,18365
Eritrea,802822
Ethiopia,946129
Kenya,535348
Madagascar,193526
Malawi,311052
Mauritius*,182973
Mayotte*,6767
Mozambique,640160
Réunion*,3064
Rwanda,492489
Seychelles,29258
Somalia,2034221
South Sudan,2575870
Uganda,781440
United Republic of Tanzania*,327863
Zambia,200700
Zimbabwe,1243314
Angola,668066
Cameroon,441015
Central African Republic,816668
Chad,222303
Congo,223767
Democratic Republic of the Congo,1832069
Equatorial Guinea,128774
Gabon,48392
Sao Tome and Principe,39608
Algeria,2022337
Egypt,3610461
Libya,185518
Morocco,3262222
Sudan,2104887
Tunisia,902268
Western Sahara,194932
Botswana,63561
Eswatini,50039
Lesotho,202164
Namibia,47770
South Africa,914901
Benin,681827
Burkina Faso,1599347
Cabo Verde,187558
Côte d'Ivoire,1149298
Gambia,139210
Ghana,1004324
Guinea,550790
Guinea-Bissau,111790
Liberia,233564
Mali,1303511
Mauritania,130226
Niger,399707
Nigeria,1670455
Saint Helena*,4885
Senegal,693765
Sierra Leone,152486
Togo,545409
Kazakhstan,4203899
Kyrgyzstan,774377
Tajikistan,586851
Turkmenistan,242554
Uzbekistan,2027823
China*,10461170
"China, Hong Kong SAR*",1007788
"China, Macao SAR*",145192
"China, Taiwan Province of China*",..
Dem. People's Republic of Korea,110377
Japan,808825
Mongolia,82098
Republic of Korea,2204554
Brunei Darussalam,45340
Cambodia,1104819
Indonesia,4601369
Lao People's Democratic Republic,1296051
Malaysia*,1860037
Myanmar,3711751
Philippines,6094307
Singapore,348464
Thailand,1086985
Timor-Leste,39588
Viet Nam,3392025
Afghanistan,5853838
Bangladesh,7401763
Bhutan,51998
India,17869492
Iran (Islamic Republic of),1325113
Maldives,3715
Nepal,2599701
Pakistan,6328400
Sri Lanka,1960025
Armenia,958190
Azerbaijan*,1163922
Bahrain,58270
Cyprus*,173210
Georgia*,861077
Iraq,2077976
Israel,358691
Jordan,814909
Kuwait,212271
Lebanon,856814
Oman,25099
Qatar,25705
Saudi Arabia,299268
State of Palestine*,4022791
Syrian Arab Republic,8457214
Turkey,3411408
United Arab Emirates,203214
Yemen,1301166
Belarus,1483626
Bulgaria,1683074
Czechia,1026108
Hungary,714420
Poland,4825096
Republic of Moldova*,1159443
Romania,3987093
Russian Federation,10756697
Slovakia,419651
Ukraine*,6139144
Channel Islands*,17158
Denmark*,257025
Estonia,206631
Faroe Islands*,12927
Finland*,311889
Iceland,43251
Ireland,734317
Isle of Man*,12032
Latvia,380010
Lithuania,658057
Norway*,191392
Sweden,327581
United Kingdom*,4732510
Albania,1250451
Andorra,11132
Bosnia and Herzegovina,1687639
Croatia,1039526
Gibraltar*,13389
Greece,1088507
Holy See*,174
Italy,3258831
Malta,102793
Montenegro,132965
North Macedonia,693896
Portugal,2081419
San Marino,2407
Serbia*,1003962
Slovenia,160197
Spain*,1489823
Austria,600740
Belgium,577463
France*,2341908
Germany,3855268
Liechtenstein,3706
Luxembourg,81757
Monaco,32552
Netherlands*,970403
Switzerland,713623
Anguilla*,2505
Antigua and Barbuda,66561
Aruba*,21456
Bahamas,53793
Barbados,99611
"Bonaire, Sint Eustatius and Saba*",8148
British Virgin Islands*,5355
Cayman Islands*,1908
Cuba,1757300
Curaçao*,7611
Dominica,78191
Dominican Republic,1608567
Grenada,62204
Guadeloupe*,12542
Haiti,1769671
Jamaica,1118931
Martinique*,12963
Montserrat*,24582
Puerto Rico*,1850529
Saint Barthélemy*,..
Saint Kitts and Nevis,50285
Saint Lucia,71227
Saint Martin (French part)*,..
Saint Vincent and the Grenadines,55525
Sint Maarten (Dutch part)*,2191
Trinidad and Tobago,330519
Turks and Caicos Islands*,2689
United States Virgin Islands*,3908
Belize,52756
Costa Rica,150241
El Salvador,1599058
Guatemala,1368431
Honduras,985077
Mexico,11185737
Nicaragua,718154
Panama,139520
Argentina,1076148
Bolivia (Plurinational State of),927244
Brazil,1897128
Chile,643800
Colombia,3024273
Ecuador,1127891
Falkland Islands (Malvinas)*,1518
French Guiana*,4595
Guyana,438413
Paraguay,896484
Peru,1519635
Suriname,273209
Uruguay,367060
Venezuela (Bolivarian Republic of),5415337
Bermuda*,21107
Canada,1292329
Greenland*,17866
Saint Pierre and Miquelon*,433
United States of America*,2996223
Australia*,598765
New Zealand*,806159
Fiji,233856
New Caledonia*,5839
Papua New Guinea,4810
Solomon Islands,4270
Vanuatu,7246
Guam*,2213
Kiribati,5103
Marshall Islands,10886
Micronesia (Fed. States of),24945
Nauru,2454
Northern Mariana Islands*,2741
Palau,2656
American Samoa*,1832
Cook Islands*,21106
French Polynesia*,2157
Niue*,5186
Samoa,135732
Tokelau*,2112
Tonga,74550
Tuvalu,3670
Wallis and Futuna Islands*,11917
